Language,FLORES-200 code,xx - English,English - xx
Acehnese (Arabic script),ace_Arab,26.5,1.9
Acehnese (Latin script),ace_Latn,36.6,24.9
Mesopotamian Arabic,acm_Arab,55.7,39.5
Ta’izzi-Adeni Arabic,acq_Arab,56.3,34.2
Tunisian Arabic,aeb_Arab,52.3,33.6
Afrikaans,afr_Latn,73.4,55.7
South Levantine Arabic,ajp_Arab,60.4,41.1
Akan,aka_Latn,27.3,4.4
Tosk Albanian,als_Latn,61.3,45.8
Amharic,amh_Ethi,51.4,1.5
North Levantine Arabic,apc_Arab,58.5,40.6
Modern Standard Arabic,arb_Arab,61.1,50.9
Modern Standard Arabic (Romanized),arb_Latn,48.5,12.8
Najdi Arabic,ars_Arab,59.5,40.5
Moroccan Arabic,ary_Arab,50.1,30.7
Egyptian Arabic,arz_Arab,53.1,37.1
Assamese,asm_Beng,50.0,10.1
Asturian,ast_Latn,61.9,37.8
Awadhi,awa_Deva,54.4,22.3
Central Aymara,ayr_Latn,21.8,6.1
South Azerbaijani,azb_Arab,40.4,1.2
North Azerbaijani,azj_Latn,47.4,31.2
Bashkir,bak_Cyrl,47.8,12.1
Bambara,bam_Latn,22.3,11.3
Balinese,ban_Latn,45.9,29.6
Belarusian,bel_Cyrl,47.1,30.7
Bemba,bem_Latn,26.7,11.3
Bengali,ben_Beng,56.8,36.9
Bhojpuri,bho_Deva,50.5,28.3
Banjar (Arabic script),bjn_Arab,30.9,10.8
Banjar (Latin script),bjn_Latn,49.9,30.9
Standard Tibetan,bod_Tibt,26.4,5.6
Bosnian,bos_Latn,64.6,51.8
Buginese,bug_Latn,31.5,8.9
Bulgarian,bul_Cyrl,64.5,60.2
Catalan,cat_Latn,66.8,60.8
Cebuano,ceb_Latn,61.7,42.3
Czech,ces_Latn,62.6,53.0
Chokwe,cjk_Latn,22.8,9.4
Central Kurdish,ckb_Arab,48.1,6.9
Crimean Tatar,crh_Latn,47.9,18.4
Welsh,cym_Latn,65.6,27.2
Danish,dan_Latn,68.9,66.2
German,deu_Latn,65.2,60.9
Southwestern Dinka,dik_Latn,24.4,10.4
Dyula,dyu_Latn,21.2,9.4
Dzongkha,dzo_Tibt,20.4,2.3
Greek,ell_Grek,58.2,47.3
Esperanto,epo_Latn,64.1,48.8
Estonian,est_Latn,60.5,44.0
Basque,eus_Latn,53.6,31.6
Ewe,ewe_Latn,22.5,2.4
Faroese,fao_Latn,52.8,21.9
Fijian,fij_Latn,25.8,4.8
Finnish,fin_Latn,58.8,53.3
Fon,fon_Latn,20.0,5.3
French,fra_Latn,65.8,67.2
